edge_path,edge_path_counts,normalized_edge_path
"('msn-sports', 'summary')",227,4.83103e-05
"('on-air', 'bbs')",217,4.61821e-05
"('weather', 'travel')",147,3.12846e-05
"('opinion', 'msn-sports')",128,2.7241e-05
"('opinion', 'travel')",110,2.34103e-05
"('business', 'bbs')",107,2.27718e-05
"('opinion', 'bbs')",101,2.14949e-05
"('msn-news', 'travel')",95,2.0218e-05
"('health', 'bbs')",87,1.85154e-05
"('living', 'bbs')",85,1.80897e-05
"('misc', 'bbs')",80,1.70256e-05
"('bbs', 'travel')",72,1.53231e-05
"('news', 'bbs')",57,1.21308e-05
"('weather', 'bbs')",32,6.8103e-06
"('msn-news', 'bbs')",31,6.5974e-06
"('tech', 'bbs')",29,6.1718e-06
"('local', 'bbs')",28,5.959e-06
"('msn-sports', 'travel')",27,5.7462e-06
"('msn-sports', 'bbs')",16,3.4051e-06
